Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,BP_RP
0.00049103,-1.5,10.07918,0.0900000036,1.0816895926,0.09,-3.183,3.475,5.427,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.32e-17,0.0,0.748,0.2515,8.884e-05,2.397e-05,0.0002174,-1.0,0.0004941,12.727,26.141749891599527,28.028749891599528,24.874749891599528,3.154
0.00049103,-1.5,10.07918,0.095162496,1.1293774164,0.095,-3.03,3.4969,5.386,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.73e-17,0.0,0.7471,0.2524,8.884e-05,2.397e-05,0.0002174,-1.0,0.0004941,12.344,25.640749891599526,27.186749891599526,24.455749891599528,2.730999999999998
0.00049103,-1.5,10.07918,0.1000000015,1.1711064122,0.1,-2.893,3.5163,5.349,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.08e-16,0.0,0.7462,0.2533,8.884e-05,2.397e-05,0.0002174,-1.0,0.0004941,12.004,25.195749891599526,26.510749891599527,24.08174989159953,2.4289999999999985
0.00049103,-1.5,10.07918,0.1199999973,1.3193154249,0.12,-2.608,3.5474,5.266,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.08e-16,0.0,0.7436,0.2559,8.884e-05,2.397e-05,0.0002174,-1.0,0.000494,11.289,24.31974989159953,25.374749891599528,23.308749891599525,2.0660000000000025
0.00049103,-1.5,10.07918,0.1400000006,1.4384526719,0.14,-2.426,3.5627,5.213,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.12e-16,0.0,0.7416,0.2579,8.884e-05,2.397e-05,0.0002174,-1.0,0.0004941,10.835,23.792749891599527,24.75174989159953,22.826749891599526,1.9250000000000043
0.00049103,-1.5,10.07918,0.1599999964,1.5372931554,0.16,-2.284,3.5729,5.17,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.25e-16,0.0,0.7402,0.2593,8.884e-05,2.397e-05,0.0002174,-1.0,0.0004941,10.48,23.393749891599526,24.29674989159953,22.454749891599526,1.8420000000000023
0.00049103,-1.5,10.07918,0.2000000179,1.6938791367,0.2,-2.062,3.5862,5.098,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.88e-16,0.0,0.7391,0.2605,8.884e-05,2.397e-05,0.0002174,-1.0,0.0004942,9.926,22.78774989159953,23.62674989159953,21.884749891599526,1.7420000000000044
0.00049103,-1.5,10.07918,0.25,1.8403257998,0.25,-1.859,3.5973,5.036,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.2e-16,0.0,0.739,0.2605,8.883e-05,2.397e-05,0.0002174,-1.0,0.0004941,9.416,22.237749891599528,23.027749891599527,21.363749891599525,1.6640000000000015
0.00049103,-1.5,10.07918,0.3000000417,1.9529140366,0.3,-1.703,3.6058,4.993,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.45e-15,0.0,0.7392,0.2603,8.882e-05,2.397e-05,0.0002174,-1.0,0.0004941,9.028,21.820749891599526,22.574749891599527,20.966749891599527,1.6080000000000005
0.00049103,-1.5,10.07918,0.3204100132,1.9920695556,0.32,-1.65,3.6089,4.981,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.61e-15,0.0,0.7392,0.2603,8.88e-05,2.397e-05,0.0002174,-1.0,0.0004941,8.895,21.67574989159953,22.417749891599527,20.830749891599528,1.5869999999999997
