Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,BP_RP
1.9582e-05,-2.19174,10.07918,0.1000000015,1.1711064122,0.1,-2.78,3.5588,5.405,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.31e-16,0.0,0.7453,0.2546,1.798e-05,4.851e-06,4.4e-05,-1.0,0.0001,11.721,24.783512503836434,25.725512503836434,23.824512503836434,1.9009999999999998
1.9582e-05,-2.19174,10.07918,0.1098214313,1.2482754908,0.109,-2.632,3.5741,5.357,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.86e-16,0.0,0.7435,0.2564,1.798e-05,4.851e-06,4.4e-05,-1.0,0.0001,11.349,24.395512503836436,25.265512503836433,23.474512503836436,1.7909999999999968
1.9582e-05,-2.19174,10.07918,0.1294642836,1.3786745408,0.129,-2.39,3.5965,5.277,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.28e-16,0.0,0.7405,0.2594,1.798e-05,4.851e-06,4.4e-05,-1.0,0.0001,10.744,23.758512503836435,24.523512503836436,22.897512503836435,1.6260000000000012
1.9582e-05,-2.19174,10.07918,0.1491071582,1.4855959672,0.149,-2.227,3.6079,5.22,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.75e-16,0.0,0.7387,0.2612,1.798e-05,4.851e-06,4.4e-05,-1.0,9.99e-05,10.336,23.330512503836434,24.050512503836437,22.497512503836433,1.5530000000000044
1.9582e-05,-2.19174,10.07918,0.168750003,1.575613992,0.168,-2.1,3.6152,5.176,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.29e-16,0.0,0.7378,0.2621,1.798e-05,4.851e-06,4.4e-05,-1.0,9.99e-05,10.02,23.000512503836433,23.694512503836435,22.183512503836432,1.5110000000000028
1.9582e-05,-2.19174,10.07918,0.2080357224,1.7204495903,0.207,-1.896,3.6261,5.108,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.79e-16,0.0,0.7374,0.2625,1.798e-05,4.851e-06,4.4e-05,-1.0,9.999e-05,9.511,22.467512503836435,23.125512503836433,21.673512503836434,1.4519999999999982
1.9582e-05,-2.19174,10.07918,0.2571428716,1.8581268277,0.257,-1.708,3.6362,5.052,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.45e-15,0.0,0.7377,0.2622,1.798e-05,4.852e-06,4.4e-05,-1.0,9.996e-05,9.041,21.972512503836434,22.600512503836434,21.201512503836433,1.399000000000001
1.9582e-05,-2.19174,10.07918,0.3062500358,1.9652636675,0.306,-1.563,3.6446,5.017,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.93e-15,0.0,0.7377,0.2622,1.797e-05,4.852e-06,4.4e-05,-1.0,9.996e-05,8.677,21.588512503836434,22.191512503836435,20.834512503836436,1.3569999999999993
1.9582e-05,-2.19174,10.07918,0.3553571403,2.0521113302,0.355,-1.44,3.6525,4.99,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-2.45e-15,0.0,0.7387,0.2612,1.796e-05,4.853e-06,4.4e-05,-1.0,0.0001,8.371,21.263512503836434,21.843512503836436,20.525512503836435,1.3180000000000014
1.9582e-05,-2.19174,10.07918,0.4044643044,2.1246090444,0.404,-1.319,3.6608,4.959,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.14e-15,0.0,0.75,0.2499,1.798e-05,4.851e-06,4.4e-05,-1.0,9.996e-05,8.068,20.940512503836437,21.498512503836437,20.221512503836436,1.277000000000001
1.9582e-05,-2.19174,10.07918,0.4535714388,2.1864813481,0.453,-1.173,3.6741,4.916,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.37e-15,0.0,0.7507,0.2492,1.798e-05,4.851e-06,4.4e-05,-1.0,9.999e-05,7.702,20.547512503836437,21.067512503836433,19.856512503836434,1.2109999999999985
1.9582e-05,-2.19174,10.07918,0.5026785731,2.2401984691,0.503,-1.009,3.6887,4.855,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.48e-15,0.0,0.7526,0.2473,1.786e-05,4.818e-06,4.37e-05,-1.0,0.0001,7.293,20.112512503836435,20.591512503836434,19.455512503836434,1.1359999999999992
1.9582e-05,-2.19174,10.07918,0.5517857671,2.2851312492,0.551,-0.809,3.708,4.772,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-1.08e-14,0.0,0.7851,0.2148,1.566e-05,4.228e-06,3.837e-05,-1.0,9.948e-05,6.792,19.584512503836436,20.012512503836433,18.974512503836436,1.0379999999999967
1.9582e-05,-2.19174,10.07918,0.6008928418,2.3217254164,0.6,-0.603,3.7325,4.701,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-1.8e-14,0.0,0.798,0.202,1.482e-05,4.004e-06,3.635e-05,-1.0,5.256e-05,6.277,19.048512503836434,19.417512503836434,18.494512503836436,0.9229999999999983
1.9582e-05,-2.19174,10.07918,0.6072366834,2.3259589707,0.607,-0.575,3.7362,4.693,1,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1,-1.93e-14,0.0,0.8001,0.1999,1.469e-05,3.968e-06,3.603e-05,-1.0,1.489e-05,6.207,18.976512503836435,19.337512503836436,18.430512503836436,0.907
1.9582e-05,-2.19174,10.07918,0.6183252931,2.3331195745,0.618,-0.525,3.7428,4.677,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.18e-14,0.0,0.8038,0.1961,1.444e-05,3.903e-06,3.544e-05,-1.0,0.0001,6.083,18.850512503836434,19.196512503836434,18.319512503836435,0.8769999999999989
1.9582e-05,-2.19174,10.07918,0.6282081604,2.3392571542,0.628,-0.48,3.7486,4.663,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.44e-14,0.0,0.8074,0.1925,1.421e-05,3.841e-06,3.489e-05,-1.0,5.597e-05,5.971,18.738512503836436,19.071512503836434,18.220512503836435,0.8509999999999991
1.9582e-05,-2.19174,10.07918,0.6378048062,2.345008136,0.638,-0.437,3.7541,4.648,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-2.73e-14,0.0,0.8111,0.1889,1.398e-05,3.779e-06,3.433e-05,-1.0,2.368e-05,5.862,18.629512503836434,18.951512503836433,18.124512503836435,0.8269999999999982
1.9582e-05,-2.19174,10.07918,0.6491133571,2.351534645,0.649,-0.385,3.7606,4.629,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-1.64e-14,0.0,0.8156,0.1844,1.369e-05,3.702e-06,3.363e-05,-1.0,5.88e-05,5.731,18.501512503836434,18.808512503836436,18.010512503836434,0.7980000000000018
1.9582e-05,-2.19174,10.07918,0.6499999762,2.3520353107,0.65,-0.38,3.7611,4.627,1,0.0,0.543,0.0,0.0,0.0,0.0,0.0,-1,-3.14e-14,0.0,0.8159,0.184,1.367e-05,3.695e-06,3.358e-05,-1.0,0.0001,5.721,18.491512503836436,18.797512503836437,18.002512503836435,0.7950000000000017
1.9582e-05,-2.19174,10.07918,0.6585742235,2.3567972307,0.658,-0.34,3.7657,4.612,1,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1,-3.49e-14,0.0,0.8203,0.1796,1.338e-05,3.619e-06,3.29e-05,-1.0,0.0001,5.62,18.392512503836436,18.689512503836436,17.913512503836436,0.7759999999999998
1.9582e-05,-2.19174,10.07918,0.6688095927,2.3622982465,0.669,-0.291,3.7713,4.591,1,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1,-3.97e-14,0.0,0.8259,0.174,1.302e-05,3.523e-06,3.204e-05,-1.0,0.0001001,5.498,18.272512503836435,18.559512503836434,17.805512503836436,0.7539999999999978
1.9582e-05,-2.19174,10.07918,0.6785455346,2.3673541245,0.678,-0.243,3.7764,4.57,1,0.0,0.541,0.0,0.0,0.0,0.0,0.0,-1,-4.5e-14,0.0,0.8316,0.1683,1.265e-05,3.426e-06,3.116e-05,-1.0,9.993e-05,5.378,18.156512503836435,18.434512503836434,17.699512503836434,0.7349999999999994
1.9582e-05,-2.19174,10.07918,0.6878397465,2.3720273678,0.688,-0.196,3.7813,4.549,1,0.0,0.541,0.0,0.0,0.0,0.0,0.0,-1,-5.11e-14,0.0,0.8374,0.1625,1.228e-05,3.327e-06,3.027e-05,-1.0,9.997e-05,5.261,18.041512503836437,18.311512503836436,17.595512503836435,0.7160000000000011
1.9582e-05,-2.19174,10.07918,0.6960875988,2.3760545246,0.696,-0.153,3.7856,4.528,1,0.0,0.54,0.0,0.0,0.0,0.0,0.0,-1,-3.18e-15,0.0,0.8429,0.1571,1.193e-05,3.234e-06,2.943e-05,-1.0,3.627e-05,5.153,17.936512503836436,18.197512503836435,17.499512503836435,0.6980000000000004
1.9582e-05,-2.19174,10.07918,0.6999999881,2.3779266974,0.7,-0.132,3.7876,4.518,1,0.0,0.54,0.0,0.0,0.0,0.0,0.0,-1,-6.08e-14,0.0,0.8456,0.1544,1.176e-05,3.188e-06,2.902e-05,-1.0,9.09e-07,5.101,17.885512503836434,18.143512503836433,17.453512503836436,0.6899999999999977
1.9582e-05,-2.19174,10.07918,0.7090166807,2.3821510618,0.709,-0.082,3.792,4.49,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-7e-14,0.0,0.8505,0.1495,1.145e-05,3.115e-06,2.838e-05,-1.0,1.347e-05,4.975,17.762512503836433,18.011512503836435,17.340512503836436,0.6709999999999994
1.9582e-05,-2.19174,10.07918,0.7175090313,2.3860183186,0.717,-0.032,3.7961,4.462,1,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1,-8.06e-14,0.0,0.8545,0.1454,1.122e-05,3.06e-06,2.791e-05,-1.0,6.422e-05,4.85,17.639512503836436,17.881512503836433,17.226512503836435,0.6549999999999976
1.9582e-05,-2.19174,10.07918,0.7258906364,2.3897332881,0.725,0.02,3.8001,4.431,1,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-9.36e-14,0.0,0.8581,0.1419,1.103e-05,3.016e-06,2.753e-05,-1.0,3.716e-05,4.72,17.510512503836434,17.745512503836437,17.106512503836434,0.6390000000000029
1.9582e-05,-2.19174,10.07918,0.7330866456,2.3928449483,0.733,0.067,3.8034,4.401,1,0.0,0.533,0.0,0.0,0.0,0.0,0.0,-1,-1.07e-13,0.0,0.8608,0.1391,1.089e-05,2.984e-06,2.726e-05,-1.0,4.674e-05,4.601,17.392512503836436,17.622512503836436,16.996512503836435,0.6260000000000012
1.9582e-05,-2.19174,10.07918,0.7400557995,2.3957922741,0.739,0.117,3.8065,4.368,1,0.0,0.531,0.0,0.0,0.0,0.0,0.0,-1,-8.97e-14,0.0,0.8632,0.1367,1.077e-05,2.957e-06,2.703e-05,-1.0,0.0001,4.478,17.270512503836436,17.494512503836436,16.881512503836433,0.6130000000000031
1.9582e-05,-2.19174,10.07918,0.747023344,2.3986757886,0.746,0.17,3.8095,4.331,1,0.0,0.53,0.0,0.0,0.0,0.0,0.0,-1,-1.94e-14,0.0,0.8654,0.1345,1.066e-05,2.934e-06,2.683e-05,-1.0,0.0001,4.345,17.137512503836433,17.356512503836434,16.755512503836435,0.6009999999999991
