Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,BP_RP
0.00039019,-1.6,10.07918,0.0900000036,1.0816895926,0.09,-3.187,3.4783,5.445,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.16e-17,0.0,0.7481,0.2515,7.531e-05,2.032e-05,0.0001843,-1.0,0.0004188,12.739,26.238394585211275,28.070394585211275,24.984394585211277,3.0859999999999985
0.00039019,-1.6,10.07918,0.0956584588,1.1337812957,0.096,-3.006,3.5045,5.395,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-8.05e-17,0.0,0.7469,0.2526,7.531e-05,2.032e-05,0.0001843,-1.0,0.0004188,12.285,25.653394585211274,27.100394585211276,24.497394585211275,2.6030000000000015
0.00039019,-1.6,10.07918,0.1000000015,1.1711064122,0.1,-2.874,3.5235,5.358,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.11e-16,0.0,0.746,0.2535,7.531e-05,2.032e-05,0.0001843,-1.0,0.0004188,11.955,25.228394585211277,26.470394585211274,24.140394585211276,2.3299999999999983
0.00039019,-1.6,10.07918,0.1200000048,1.3193154741,0.12,-2.586,3.5545,5.273,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.17e-16,0.0,0.7433,0.2563,7.531e-05,2.032e-05,0.0001843,-1.0,0.0004188,11.235,24.355394585211275,25.363394585211275,23.366394585211275,1.9969999999999999
0.00039019,-1.6,10.07918,0.1400000006,1.4384526719,0.14,-2.404,3.5697,5.218,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.26e-16,0.0,0.7412,0.2583,7.531e-05,2.032e-05,0.0001843,-1.0,0.0004188,10.779,23.832394585211276,24.751394585211273,22.886394585211274,1.8649999999999984
0.00039019,-1.6,10.07918,0.1599999964,1.5372931554,0.16,-2.261,3.5797,5.174,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.46e-16,0.0,0.7399,0.2597,7.531e-05,2.032e-05,0.0001843,-1.0,0.0004188,10.422,23.435394585211277,24.303394585211276,22.515394585211276,1.7880000000000003
0.00039019,-1.6,10.07918,0.2000000179,1.6938791367,0.2,-2.04,3.5927,5.101,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.22e-16,0.0,0.7388,0.2608,7.531e-05,2.032e-05,0.0001843,-1.0,0.0004188,9.869,22.834394585211275,23.642394585211274,21.949394585211273,1.6930000000000014
0.00039019,-1.6,10.07918,0.2268748581,1.7778276926,0.227,-1.925,3.5989,5.066,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.8e-16,0.0,0.7388,0.2608,7.53e-05,2.032e-05,0.0001843,-1.0,0.0004188,9.582,22.525394585211274,23.306394585211272,21.656394585211274,1.6499999999999986
0.00039019,-1.6,10.07918,0.25,1.8403257998,0.25,-1.836,3.6037,5.039,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.22e-16,0.0,0.7388,0.2608,7.53e-05,2.032e-05,0.0001843,-1.0,0.0004188,9.361,22.288394585211275,23.049394585211274,21.431394585211272,1.618000000000002
0.00039019,-1.6,10.07918,0.3000000417,1.9529140366,0.3,-1.681,3.6124,4.998,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.51e-15,0.0,0.739,0.2606,7.529e-05,2.032e-05,0.0001843,-1.0,0.0004188,8.974,21.871394585211277,22.597394585211276,21.036394585211276,1.561
